,Torneo,jornadaCompleta,jornadaNumero,fechaPartido,diaFechaPartido,mesFechaPartido,anoFechaPartido,equipoLocal,equipoLocalResultado,equipoVisitante,equipoVisitanteResultado,resultado
0,Liga Profesional Argentina 2017,Jornada 1,1,30 Ago 16,30,Ago,16,Aldosivi,0,Colón,2,0-2
1,Liga Profesional Argentina 2017,Jornada 1,1,28 Ago 16,28,Ago,16,River Plate,4,Banfield,1,4-1
2,Liga Profesional Argentina 2017,Jornada 1,1,27 Ago 16,27,Ago,16,Racing Club,1,Talleres Córdoba,1,1-1
3,Liga Profesional Argentina 2017,Jornada 1,1,28 Ago 16,28,Ago,16,San Lorenzo,2,San Martín San Juan,2,2-2
4,Liga Profesional Argentina 2017,Jornada 1,1,27 Ago 16,27,Ago,16,Rosario Central,0,Defensa y Justicia,0,0-0
5,Liga Profesional Argentina 2017,Jornada 1,1,27 Ago 16,27,Ago,16,Gimnasia La Plata,2,Vélez Sarsfield,0,2-0
6,Liga Profesional Argentina 2017,Jornada 1,1,30 Ago 16,30,Ago,16,Temperley,1,Patronato,0,1-0
7,Liga Profesional Argentina 2017,Jornada 1,1,28 Ago 16,28,Ago,16,Atl.Tucumán,1,Atletico Rafaela,0,1-0
8,Liga Profesional Argentina 2017,Jornada 1,1,27 Ago 16,27,Ago,16,Sarmiento,1,Arsenal de Sarandí,0,1-0
9,Liga Profesional Argentina 2017,Jornada 1,1,28 Ago 16,28,Ago,16,Tigre,0,Estudiantes La Plata,3,0-3
10,Liga Profesional Argentina 2017,Jornada 1,1,28 Ago 16,28,Ago,16,Quilmes,0,Newell's Old Boys,1,0-1
11,Liga Profesional Argentina 2017,Jornada 1,1,27 Ago 16,27,Ago,16,Godoy Cruz,1,CA Huracán,0,1-0
12,Liga Profesional Argentina 2017,Jornada 1,1,28 Ago 16,28,Ago,16,Belgrano,0,Independiente,1,0-1
13,Liga Profesional Argentina 2017,Jornada 1,1,29 Ago 16,29,Ago,16,Lanús,1,Boca Juniors,0,1-0
14,Liga Profesional Argentina 2017,Jornada 1,1,28 Ago 16,28,Ago,16,Unión Santa Fe,1,Olimpo,0,1-0
15,Liga Profesional Argentina 2017,Jornada 2,2,10 Sep 16,10,Sep,16,Unión Santa Fe,0,Aldosivi,0,0-0
16,Liga Profesional Argentina 2017,Jornada 2,2,10 Sep 16,10,Sep,16,Olimpo,0,Lanús,0,0-0
17,Liga Profesional Argentina 2017,Jornada 2,2,11 Sep 16,11,Sep,16,Boca Juniors,3,Belgrano,0,3-0
18,Liga Profesional Argentina 2017,Jornada 2,2,11 Sep 16,11,Sep,16,Independiente,2,Godoy Cruz,0,2-0
19,Liga Profesional Argentina 2017,Jornada 2,2,10 Sep 16,10,Sep,16,CA Huracán,1,Quilmes,1,1-1
20,Liga Profesional Argentina 2017,Jornada 2,2,11 Sep 16,11,Sep,16,Newell's Old Boys,1,Tigre,0,1-0
21,Liga Profesional Argentina 2017,Jornada 2,2,11 Sep 16,11,Sep,16,Estudiantes La Plata,1,Sarmiento,0,1-0
22,Liga Profesional Argentina 2017,Jornada 2,2,13 Sep 16,13,Sep,16,Arsenal de Sarandí,1,Atl.Tucumán,3,1-3
23,Liga Profesional Argentina 2017,Jornada 2,2,13 Sep 16,13,Sep,16,Atletico Rafaela,1,Temperley,0,1-0
24,Liga Profesional Argentina 2017,Jornada 2,2,10 Sep 16,10,Sep,16,Patronato,0,Gimnasia La Plata,1,0-1
25,Liga Profesional Argentina 2017,Jornada 2,2,11 Sep 16,11,Sep,16,Vélez Sarsfield,2,Rosario Central,0,2-0
26,Liga Profesional Argentina 2017,Jornada 2,2,10 Sep 16,10,Sep,16,Defensa y Justicia,0,San Lorenzo,2,0-2
27,Liga Profesional Argentina 2017,Jornada 2,2,10 Sep 16,10,Sep,16,San Martín San Juan,0,Racing Club,2,0-2
28,Liga Profesional Argentina 2017,Jornada 2,2,12 Sep 16,12,Sep,16,Talleres Córdoba,0,River Plate,1,0-1
29,Liga Profesional Argentina 2017,Jornada 2,2,10 Sep 16,10,Sep,16,Banfield,0,Colón,0,0-0
30,Liga Profesional Argentina 2017,Jornada 3,3,17 Sep 16,17,Sep,16,Aldosivi,1,Banfield,3,1-3
31,Liga Profesional Argentina 2017,Jornada 3,3,17 Sep 16,17,Sep,16,Colón,1,Talleres Córdoba,0,1-0
32,Liga Profesional Argentina 2017,Jornada 3,3,18 Sep 16,18,Sep,16,River Plate,1,San Martín San Juan,1,1-1
33,Liga Profesional Argentina 2017,Jornada 3,3,19 Sep 16,19,Sep,16,Racing Club,1,Defensa y Justicia,1,1-1
34,Liga Profesional Argentina 2017,Jornada 3,3,17 Sep 16,17,Sep,16,San Lorenzo,2,Vélez Sarsfield,1,2-1
