,equipo,puntos,golesFavor,golesEnContra,partidos,ganados,empatados,perdidos,diferenciaGoles,ganadosLocal,ganadosVisitante,empatadosLocal,empatadosVisitante,perdidosLocal,perdidosVisitante,torneo
0,Racing Club,39,28,23,23,6,12,5,5,5,4,5,7,1,1,Liga Profesional Argentina 2020
1,Unión Santa Fe,27,21,30,23,8,6,9,-9,4,3,3,3,4,6,Liga Profesional Argentina 2020
2,Colón,18,17,39,23,10,3,10,-22,5,0,2,1,5,10,Liga Profesional Argentina 2020
3,Patronato,23,22,34,23,8,8,7,-12,4,1,3,5,4,6,Liga Profesional Argentina 2020
4,San Lorenzo,36,32,30,23,10,3,10,2,6,5,2,1,4,5,Liga Profesional Argentina 2020
5,Godoy Cruz,18,22,46,23,11,0,12,-24,3,3,0,0,8,9,Liga Profesional Argentina 2020
6,Lanús,36,32,29,23,7,9,7,3,6,3,4,5,1,4,Liga Profesional Argentina 2020
7,Gimnasia La Plata,23,22,23,23,9,5,9,-1,2,4,2,3,7,5,Liga Profesional Argentina 2020
8,Argentinos Juniors,39,22,17,23,7,9,7,5,7,3,5,4,0,4,Liga Profesional Argentina 2020
9,River Plate,47,41,18,23,9,5,9,23,5,9,2,3,4,0,Liga Profesional Argentina 2020
10,Estudiantes La Plata,30,23,22,23,10,6,7,1,6,2,2,4,4,5,Liga Profesional Argentina 2020
11,Aldosivi,22,20,35,23,8,4,11,-15,3,3,3,1,5,8,Liga Profesional Argentina 2020
12,Newell's Old Boys,35,33,25,23,10,8,5,8,7,2,2,6,3,3,Liga Profesional Argentina 2020
13,Central Córdoba SdE,26,21,29,23,7,8,8,-8,4,2,4,4,3,6,Liga Profesional Argentina 2020
14,Talleres Córdoba,34,34,30,23,9,4,10,4,7,3,3,1,2,7,Liga Profesional Argentina 2020
15,Vélez Sarsfield,39,27,14,23,7,6,10,13,5,6,4,2,2,4,Liga Profesional Argentina 2020
16,Defensa y Justicia,36,26,18,23,9,6,8,8,5,5,3,3,4,3,Liga Profesional Argentina 2020
17,Independiente,29,27,25,23,10,5,8,2,5,3,2,3,5,5,Liga Profesional Argentina 2020
18,Boca Juniors,48,35,8,23,8,6,9,27,7,7,4,2,1,2,Liga Profesional Argentina 2020
19,CA Huracán,22,17,27,23,7,7,9,-10,3,2,4,3,4,7,Liga Profesional Argentina 2020
20,Arsenal de Sarandí,34,37,32,23,7,7,9,5,5,4,5,2,2,5,Liga Profesional Argentina 2020
21,Banfield,26,19,23,23,8,8,7,-4,2,4,4,4,6,3,Liga Profesional Argentina 2020
22,Atl.Tucumán,29,22,25,23,7,8,8,-3,4,3,5,3,3,5,Liga Profesional Argentina 2020
23,Rosario Central,36,31,29,23,8,9,6,2,7,2,3,6,1,4,Liga Profesional Argentina 2020
